rank,name
1,Jannik Sinner
3,Alexander Zverev
4,Felix Auger-Aliassime
5,Ben Shelton
6,Alex de Minaur
7,Taylor Fritz
8,Novak Djokovic
9,Daniil Medvedev
10,Flavio Cobolli
11,Alexander Bublik
12,Casper Ruud
13,Andrey Rublev
14,Jiri Lehecka
16,Luciano Darderi
17,Jakub Mensik
18,Learner Tien
19,Frances Tiafoe
21,Francisco Cerundolo
22,Karen Khachanov
23,Arthur Fils
24,Tommy Paul
25,Alejandro Davidovich Fokina
26,Rafael Jodar
27,Joao Fonseca
28,Arthur Rinderknech
29,Cameron Norrie
30,Ugo Humbert
31,Brandon Nakashima
32,Tomas Martin Etcheverry
33,Alejandro Tabilo
34,Ignacio Buse
35,Matteo Arnaldi
36,Corentin Moutet
37,Alexander Blockx
38,Mariano Navone
39,Tallon Griekspoor
40,Adrian Mannarino
41,Denis Shapovalov
42,Alex Michelsen
43,Raphael Collignon
44,Jaume Munar
45,Juan Manuel Cerundolo
46,Kamil Majchrzak
48,Zizou Bergs
49,Matteo Berrettini
50,Terence Atmane
51,Miomir Kecmanovic
52,Botic van de Zandschulp
53,Nuno Borges
54,Thiago Agustin Tirante
55,Yannick Hanfmann
56,Sebastian Baez
57,Camilo Ugo Carabelli
58,Martin Landaluce
59,Daniel Altmaier
60,Marin Cilic
62,Fabian Marozsan
63,Ethan Quinn
64,Hamad Medjedovic
65,Mattia Bellucci
66,Roman Andres Burruchaga
67,Jenson Brooksby
68,Vit Kopriva
69,Zachary Svajda
70,Aleksandar Kovacevic
71,Pablo Carreno Busta
72,Lorenzo Sonego
73,Adolfo Daniel Vallejo
74,Jesper de Jong
75,Valentin Royer
76,Marton Fucsovics
77,Jan-Lennard Struff
78,James Duckworth
81,Dino Prizmic
82,Luca Van Assche
83,Rinky Hijikata
84,Giovanni Mpetshi Perricard
85,Daniel Merida
86,Marcos Giron
87,Emilio Nava
88,Stefanos Tsitsipas
89,Sho Shimabukuro
91,Gabriel Diallo
92,Adam Walton
93,Benjamin Bonzi
94,Marco Trungelliti
95,Hubert Hurkacz
97,Jaime Faria
98,Aleksandr Shevchenko
99,Yibing Wu
100,Alexei Popyrin
101,Quentin Halys
102,Alex Molcan
103,Aleksandar Vukic
104,Damir Dzumhur
105,Martin Damm
106,Jan Choinski
110,Stan Wawrinka
111,Sebastian Ofner
113,Dalibor Svrcina
114,Patrick Kypson
115,Titouan Droguet
117,Hugo Gaston
118,Arthur Fery
125,Alexandre Muller
126,Dane Sweeny
127,Roman Safiullin
129,Vilius Gaubas
136,Kyrian Jacquet
137,Otto Virtanen
140,Billy Harris
142,Toby Samuel
143,Michael Zheng
144,Mackenzie McDonald
145,Jack Pinnington Jones
150,Shintaro Mochizuki
152,Jacob Fearnley
160,Jack Draper
163,Roberto Bautista Agut
164,Grigor Dimitrov
168,Nicolas Mejia
193,Tristan Boyer
202,Soonwoo Kwon
203,Harry Wendelken
220,Felix Gill
331,Max Basing
349,Oliver Tarvet
492,Thanasi Kokkinakis
